player_name,season,impact_overall,impact_offense,impact_defense,minutes_played,games_played,age,metric_source
Lindy Waters III,2024-25,-2.8,-3,0.2,778,52,27,bpm_basketball_reference
Lonnie Walker IV,2024-25,-2.4,0,-2.4,477,20,26,bpm_basketball_reference
Lonzo Ball,2024-25,0.2,-1.5,1.7,777,35,27,bpm_basketball_reference
Luguentz Dort,2024-25,0.2,-0.6,0.8,2073,71,25,bpm_basketball_reference
Luka Dončić,2024-25,6.7,5.5,1.2,1769,50,25,bpm_basketball_reference
Luka Garza,2024-25,-2.3,-0.4,-1.9,219,39,26,bpm_basketball_reference
Luke Kennard,2024-25,1.1,0.9,0.2,1472,65,28,bpm_basketball_reference
Luke Kornet,2024-25,3.3,1.6,1.7,1361,73,29,bpm_basketball_reference
Luke Travers,2024-25,-9.7,-7.8,-1.9,88,12,23,bpm_basketball_reference
Mac McClung,2024-25,-11,-10.2,-0.8,10,2,26,bpm_basketball_reference
Malachi Flynn,2024-25,-2.8,-4.4,1.5,44,4,26,bpm_basketball_reference
Malaki Branham,2024-25,-3.2,-1.2,-1.9,427,47,21,bpm_basketball_reference
Malcolm Brogdon,2024-25,-1.5,-0.1,-1.5,564,24,32,bpm_basketball_reference
Malevy Leons,2024-25,-12.4,-10.4,-1.9,21,6,25,bpm_basketball_reference
Malik Beasley,2024-25,0.8,2,-1.2,2283,82,28,bpm_basketball_reference
Malik Monk,2024-25,-0.8,0.3,-1.1,2054,65,26,bpm_basketball_reference
MarJon Beauchamp,2024-25,-4.3,-2.7,-1.6,156,35,24,bpm_basketball_reference
Marcus Bagley,2024-25,-4.3,-3.4,-0.9,253,10,23,bpm_basketball_reference
Marcus Garrett,2024-25,-7.6,-5.4,-2.2,79,4,26,bpm_basketball_reference
Marcus Sasser,2024-25,-0.6,-0.4,-0.2,811,57,24,bpm_basketball_reference
Marcus Smart,2024-25,-1.5,-1.6,0.1,680,34,30,bpm_basketball_reference
Mark Williams,2024-25,3.5,2.5,0.9,1171,44,23,bpm_basketball_reference
Markelle Fultz,2024-25,-4.7,-4.5,-0.2,184,21,26,bpm_basketball_reference
Markieff Morris,2024-25,-7.6,-5.2,-2.5,165,15,35,bpm_basketball_reference
Marvin Bagley III,2024-25,-1.2,0.4,-1.6,265,31,25,bpm_basketball_reference
Mason Jones,2024-25,2.9,3.5,-0.6,45,10,26,bpm_basketball_reference
Mason Plumlee,2024-25,-0.6,-1.5,1,1300,74,34,bpm_basketball_reference
Matas Buzelis,2024-25,-2.5,-2,-0.5,1511,80,20,bpm_basketball_reference
Matisse Thybulle,2024-25,5,0,5.1,312,15,27,bpm_basketball_reference
Matt Ryan,2024-25,-7.5,-5.1,-2.3,68,19,27,bpm_basketball_reference
Max Christie,2024-25,-2.5,-2.1,-0.5,2127,78,21,bpm_basketball_reference
Max Strus,2024-25,1.3,1.1,0.2,1273,50,28,bpm_basketball_reference
Maxi Kleber,2024-25,-3.8,-4.2,0.4,637,34,33,bpm_basketball_reference
Maxwell Lewis,2024-25,-4.4,-3.2,-1.1,327,28,22,bpm_basketball_reference
Micah Potter,2024-25,-3.5,-2.9,-0.6,705,38,26,bpm_basketball_reference
Michael Porter Jr.,2024-25,-0.1,1.6,-1.7,2593,77,26,bpm_basketball_reference
Mikal Bridges,2024-25,-0.5,0.4,-0.9,3036,82,28,bpm_basketball_reference
Mike Conley,2024-25,1.2,-0.1,1.3,1756,71,37,bpm_basketball_reference
Miles Bridges,2024-25,1.8,2.3,-0.5,2029,64,26,bpm_basketball_reference
Miles McBride,2024-25,0,-0.4,0.4,1593,64,24,bpm_basketball_reference
